	Original ID	Gene Name in CARD	ARO Replacement
0	gi|1011730119|ref|WP_062573757.1|	gi|1011730119|ref|WP_062573757.1|	gi|1011730119|ref|WP_062573757.1|
1	gi|959842010|ref|WP_058129832.1|	gi|959842010|ref|WP_058129832.1|	gi|959842010|ref|WP_058129832.1|
2	gi|32345844|gb|AAM97216.1|	gi|32345844|gb|AAM97216.1|	gi|32345844|gb|AAM97216.1|
3	gi|730235537|ref|WP_033940563.1|	gi|730235537|ref|WP_033940563.1|	gi|730235537|ref|WP_033940563.1|
4	gi|959880686|ref|WP_058154928.1|	gi|959880686|ref|WP_058154928.1|	gi|959880686|ref|WP_058154928.1|
5	gi|518315499|ref|WP_019485706.1|	gi|518315499|ref|WP_019485706.1|	gi|518315499|ref|WP_019485706.1|
6	gi|501022077|ref|WP_012074742.1|	gi|501022077|ref|WP_012074742.1|	gi|501022077|ref|WP_012074742.1|
7	AAP46635	AAP46635	AAP46635
8	gi|730515606|ref|WP_034033846.1|	gi|730515606|ref|WP_034033846.1|	gi|730515606|ref|WP_034033846.1|
9	gi|686194009|ref|WP_031805927.1|	gi|686194009|ref|WP_031805927.1|	gi|686194009|ref|WP_031805927.1|
10	AAP46601	AAP46601	AAP46601
11	gi|32345878|gb|AAM97233.1|	gi|32345878|gb|AAM97233.1|	gi|32345878|gb|AAM97233.1|
12	gi|693041994|ref|WP_032213584.1|	gi|693041994|ref|WP_032213584.1|	gi|693041994|ref|WP_032213584.1|
13	AAL77081	AAL77081	AAL77081
14	gi|32345882|gb|AAM97235.1|	gi|32345882|gb|AAM97235.1|	gi|32345882|gb|AAM97235.1|
15	AAA25465	AAA25465	AAA25465
16	CAO91608	CAO91608	CAO91608
17	gi|730239405|ref|WP_033943848.1|	gi|730239405|ref|WP_033943848.1|	gi|730239405|ref|WP_033943848.1|
18	AAP46581	AAP46581	AAP46581
19	gi|32345908|gb|AAM97248.1|	gi|32345908|gb|AAM97248.1|	gi|32345908|gb|AAM97248.1|
20	gi|602747670|gb|EYU08172.1|	gi|602747670|gb|EYU08172.1|	gi|602747670|gb|EYU08172.1|
21	gi|489254542|ref|WP_003162522.1|	gi|489254542|ref|WP_003162522.1|	gi|489254542|ref|WP_003162522.1|
22	CAO91621	CAO91621	CAO91621
23	gi|554679166|ref|WP_023180168.1|	gi|554679166|ref|WP_023180168.1|	gi|554679166|ref|WP_023180168.1|
24	AAN61107	AAN61107	AAN61107
25	AAB08925	AAB08925	AAB08925
26	gi|553782114|ref|WP_023113693.1|	gi|553782114|ref|WP_023113693.1|	gi|553782114|ref|WP_023113693.1|
27	CAO91626	CAO91626	CAO91626
28	gi|749308249|ref|WP_040132379.1|	gi|749308249|ref|WP_040132379.1|	gi|749308249|ref|WP_040132379.1|
29	gi|953524688|ref|WP_058010482.1|	gi|953524688|ref|WP_058010482.1|	gi|953524688|ref|WP_058010482.1|
30	AAP46583	AAP46583	AAP46583
31	gi|730234224|ref|WP_033939530.1|	gi|730234224|ref|WP_033939530.1|	gi|730234224|ref|WP_033939530.1|
32	gi|730385713|ref|WP_034003307.1|	gi|730385713|ref|WP_034003307.1|	gi|730385713|ref|WP_034003307.1|
33	NC_002516.2.880362.p01	NC_002516.2.880362.p01	NC_002516.2.880362.p01
34	gi|959907095|ref|WP_058171579.1|	gi|959907095|ref|WP_058171579.1|	gi|959907095|ref|WP_058171579.1|
35	gi|3646369|emb|CAA07694.1|	gi|3646369|emb|CAA07694.1|	gi|3646369|emb|CAA07694.1|
36	gi|323161554|gb|EFZ47443.1|	gi|323161554|gb|EFZ47443.1|	gi|323161554|gb|EFZ47443.1|
37	gi|959901593|ref|WP_058168023.1|	gi|959901593|ref|WP_058168023.1|	gi|959901593|ref|WP_058168023.1|
